title,description,lat,lng,marker-size,marker-color,stroke,stroke-width
阿賀小学校,呉市阿賀南2丁目1-1,34.23320847,132.5990286,large,#FF0000,#FFFFFF,2
原小学校,呉市阿賀北4丁目3-16,34.24927293,132.5942382,large,#FF0000,#FFFFFF,2
阿賀中学校,呉市阿賀中央5丁目14-16,34.23462324,132.6006085,large,#FF0000,#FFFFFF,2
呉工業高等学校,呉市阿賀北2丁目10-1,34.25214403,132.5959066,large,#FF0000,#FFFFFF,2
呉高等学校,呉市阿賀中央5丁目13-56,34.23362092,132.6029393,large,#FF0000,#FFFFFF,2
呉南特別支援学校,呉市阿賀中央5丁目13-71,34.233129,132.603974,large,#FF0000,#FFFFFF,2
広島文化学園大学　阿賀キャンパス,呉市阿賀南2丁目10-3,34.2306545,132.5990854,large,#FF0000,#FFFFFF,2
国立呉工業高等専門学校,呉市阿賀南2丁目2-11,34.23244563,132.6009169,large,#FF0000,#FFFFFF,2
阿賀集会所,呉市阿賀南3丁目12-2,34.233428,132.5964859,large,#FF0000,#FFFFFF,2
冠崎集会所,呉市阿賀南9丁目30-26,34.199409,132.567413,large,#FF0000,#FFFFFF,2
称名寺,呉市阿賀中央9丁目8-2,34.236575,132.594741,large,#FF0000,#FFFFFF,2
情島小学校,呉市阿賀町12973,34.15863159,132.5714334,large,#FF0000,#FFFFFF,2
西光寺,呉市阿賀中央8丁目2-6,34.23908249,132.5965717,large,#FF0000,#FFFFFF,2
東延崎自治会館,呉市阿賀南4丁目2番14号,34.2327834,132.5948055,large,#FF0000,#FFFFFF,2
大誠寺,呉市阿賀南8丁目17-13,34.20837957,132.5780135,large,#FF0000,#FFFFFF,2
大入老人集会所,呉市阿賀南8丁目15-13,34.2079803,132.579006,large,#FF0000,#FFFFFF,2
広まちづくりセンター,呉市広古新開2丁目1-3,34.2325553,132.6149604,large,#FF0000,#FFFFFF,2
横路小学校,呉市広横路4丁目1-9,34.24247501,132.6151031,large,#FF0000,#FFFFFF,2
横路中学校,呉市広横路4丁目9-15,34.24247501,132.6151031,large,#FF0000,#FFFFFF,2
呉商業高等学校,呉市広古新開4丁目1-1,34.23831971,132.6126865,large,#FF0000,#FFFFFF,2
広島国際大学呉キャンパス,呉市広古新開5丁目1-1,34.23750593,132.616632,large,#FF0000,#FFFFFF,2
南横路自治会館,呉市広横路2丁目1-5,34.23981644,132.6101786,large,#FF0000,#FFFFFF,2
教法寺,呉市広古新開6丁目17-27,34.23771658,132.6209906,large,#FF0000,#FFFFFF,2
広西集会所,呉市広横路4丁目1-47,34.242806,132.616542,large,#FF0000,#FFFFFF,2
広小学校,呉市広杭本町3-1,34.238765,132.626992,large,#FF0000,#FFFFFF,2
広中央中学校,呉市広吉松2丁目15-1,34.24298055,132.6300913,large,#FF0000,#FFFFFF,2
白岳小学校,呉市広駅前1丁目6-1,34.23179589,132.6285329,large,#FF0000,#FFFFFF,2
白岳中学校,呉市広駅前2丁目11-1,34.23069819,132.6326689,large,#FF0000,#FFFFFF,2
オークアリーナ,呉市広大新開1丁目7-1,34.23248333,132.6264837,large,#FF0000,#FFFFFF,2
広会館,呉市広白岳3丁目6-34,34.22298726,132.6338035,large,#FF0000,#FFFFFF,2
広高等学校,呉市広大新開3丁目6-44,34.23498912,132.6299116,large,#FF0000,#FFFFFF,2
広中央老人集会所,呉市広大新開1丁目2-27,34.231655,132.623917,large,#FF0000,#FFFFFF,2
広白岳３丁目自治会館,呉市広白岳3丁目11-18,34.223942,132.632633,large,#FF0000,#FFFFFF,2
善通寺支坊,呉市広中新開2丁目2-10,34.23901597,132.6246572,large,#FF0000,#FFFFFF,2
日新製鋼白岳寮,呉市広両谷1丁目1-46,34.231969,132.631575,large,#FF0000,#FFFFFF,2
（旧）小坪小学校,呉市広小坪1丁目24-1,34.20778288,132.6344472,large,#FF0000,#FFFFFF,2
広南小学校,呉市広長浜4丁目1-26,34.212096,132.6251,large,#FF0000,#FFFFFF,2
広南中学校,呉市広長浜4丁目1-9,34.21260289,132.6235548,large,#FF0000,#FFFFFF,2
広津久茂自治会館,呉市広津久茂町7-8,34.2196615,132.6217645,large,#FF0000,#FFFFFF,2
住蓮寺,呉市広長浜3丁目8-31,34.21405793,132.6231444,large,#FF0000,#FFFFFF,2
小坪集会所,呉市広小坪1丁目40-6,34.20680687,132.6362979,large,#FF0000,#FFFFFF,2
専徳寺,呉市広長浜3丁目13-21,34.215006,132.622356,large,#FF0000,#FFFFFF,2
長浜老人集会所,呉市広長浜2丁目1-17,34.212801,132.621619,large,#FF0000,#FFFFFF,2
東小坪自治会館,呉市広小坪2丁目1-1,34.20404291,132.6384115,large,#FF0000,#FFFFFF,2
名田説教場,呉市広名田2丁目8-8,34.226232,132.626738,large,#FF0000,#FFFFFF,2
三坂地小学校,呉市広中迫町4-1,34.24701145,132.6300457,large,#FF0000,#FFFFFF,2
石内老人集会所,呉市広石内2丁目8-7,34.26587298,132.6309952,large,#FF0000,#FFFFFF,2
広北ふれあい集会所,呉市広塩焼1丁目2-29,34.249605,132.630991,large,#FF0000,#FFFFFF,2
徳丸自治会館,呉市広徳丸町11-17,34.257821,132.632046,large,#FF0000,#FFFFFF,2
仁方まちづくりセンター,呉市仁方本町1丁目6-11,34.2239808,132.6520408,large,#FF0000,#FFFFFF,2
皆実会館,呉市仁方皆実町1-11,34.21625819,132.6555723,large,#FF0000,#FFFFFF,2
仁方小学校,呉市仁方本町1丁目6-6,34.22327335,132.6529706,large,#FF0000,#FFFFFF,2
仁方中学校,呉市仁方桟橋通16-8,34.22082487,132.654022,large,#FF0000,#FFFFFF,2
戸田自治会館,呉市仁方町戸田4060-1,34.2069,132.652759,large,#FF0000,#FFFFFF,2
実相院,呉市仁方西神町7-9,34.225242,132.651659,large,#FF0000,#FFFFFF,2
八岩華神社,呉市仁方西神町26-2,34.22759793,132.6503688,large,#FF0000,#FFFFFF,2
